10.89,11.27,14.95,18.37,21.51,23.61,27.24,26.27,24.18,22.8,18.12,13.25
12.28,14.21,13.59,16.21,19.68,22.98,26.41,27.21,24.35,20.68,15.25,12.78
12.7,13.85,14.46,17.26,18.92,23.08,26.87,27.51,24.59,21.39,14.52,11.86
11.83,11.7,14.32,15.09,20.96,24.39,27.74,27.72,23.6,21.64,17.79,14.61
12.72,13.68,14.5,17.22,18.71,22.62,27.38,27.31,24.48,20.44,15.42,13.53
12.43,11.97,14.46,18.58,20.6,23.31,26.62,28.01,25.05,21.45,17.0,13.12
11.37,8.92,13.95,15.56,20.28,25.31,26.71,28.78,24.5,21.5,17.07,13.51
12.5,11.33,14.81,16.42,17.96,21.81,26.15,27.34,23.74,23.74,15.23,13.11
12.53,12.5,13.15,18.07,20.23,23.56,26.5,28.05,25.84,22.73,16.99,11.91
10.86,10.26,13.67,17.96,21.78,24.01,29.19,28.8,24.29,21.41,16.1,14.13
13.56,12.82,12.96,16.95,19.73,24.31,27.87,27.74,25.12,22.61,15.53,13.24
10.14,13.44,14.77,17.37,21.91,26.34,28.2,28.88,24.59,21.59,15.27,11.71
12.11,10.42,13.59,16.19,18.68,22.95,27.3,28.0,25.98,20.25,15.36,13.3
10.78,11.74,14.18,15.92,20.04,24.45,27.98,28.54,25.2,21.35,14.94,14.04
11.29,14.54,14.8,16.57,21.35,23.78,28.54,28.97,24.78,19.79,17.24,12.85
11.85,14.56,14.17,17.15,21.14,24.64,28.5,29.39,26.47,21.24,14.43,13.64
11.3,13.39,13.84,15.58,21.48,26.6,29.11,29.31,26.29,23.84,17.8,15.75
